"customer","tariff","from","to","v4","v5","v6","v7"
"Advanced Supply Chain..","Artic JF","LS1 5AR","NN17 5JE","575.00","0.00","",
"Advanced Supply Chain..","Artic JF","LS13 4TY","BD12 7AZ","325.00","0.00","",
"Advanced Supply Chain..","Artic JF","M17 8AA","BD12 7AZ","340.00","0.00","",
"Advanced Supply Chain..","Artic JF","M4 3AJ","NN17 5JE","675.00","0.00","",
"Advanced Supply Chain..","Artic JF","M8 8NL","NN17 5JE","675.00","0.00","",
"Advanced Supply Chain..","Artic JF","MK17 7AB","NN17 5ZB","364.68","0.00","",
"Advanced Supply Chain..","Artic JF","N181SJ","NN17 5JE","515.00","0.00","",
"Advanced Supply Chain..","Artic JF","NG6 8YP","NN17 5JE","450.00","0.00","",
"Advanced Supply Chain..","Artic JF","NN17 5JE","B42 1AA","420.00","0.00","",
"Advanced Supply Chain..","Artic JF","NN17 5JE","NN14 4QS","325.00","0.00","",
"Advanced Supply Chain..","Artic JF","NN17 5JE","NN8 4BL","325.00","0.00","",
"Advanced Supply Chain..","Artic JF","NN17 5JE","PE7 3HH","325.00","0.00","",
"Advanced Supply Chain..","Artic JF","NN17 5JE","ST7 1XD","550.00","0.00","",
"Advanced Supply Chain..","Artic JF","NN17 5ZB","EN9 1AF","500.00","0.00","",
"Advanced Supply Chain..","Artic JF","NN17 5ZB","KT10 9AJ","550.00","0.00","",
"Advanced Supply Chain..","Artic JF","NN17 5ZB","LE4 9LG","325.00","0.00","",
"Advanced Supply Chain..","Artic JF","NN17 5ZB","MK1 1NY","360.00","0.00","",
"Advanced Supply Chain..","Artic JF","NN17 5ZB","MK17 8EW","350.00","0.00","",
"Advanced Supply Chain..","Artic JF","NN17 5ZB","NG7 2SD","364.68","0.00","",
"Advanced Supply Chain..","Artic JF","NN17 5ZB","W1K 5LF","490.00","0.00","",
"Advanced Supply Chain..","Artic JF","NN3 9UD","NN17 5JE","325.00","0.00","",
"Advanced Supply Chain..","Artic JF","NW2 7JP","NN17 5JE","480.00","0.00","",
"Advanced Supply Chain..","Artic JF","OX7 4JS","WC1V 7QT","460.00","0.00","",
"Advanced Supply Chain..","Artic JF","PL21 9RL","NN17 5JE","895.00","0.00","",
"Advanced Supply Chain..","Artic JF","RG1 8LJ","NN17 5JE","565.15","0.00","",
"Advanced Supply Chain..","Artic JF","RM18 7HD","NN17 5ZB","540.00","0.00","",
"Advanced Supply Chain..","Artic JF","S35 1QP","DE11 0BB","435.00","0.00","",
"Advanced Supply Chain..","Artic JF","S35 1QP","MK17 8EW","585.00","0.00","",
"Advanced Supply Chain..","Artic JF","S35 1QP","NN17 5ZB","515.00","0.00","",
"Advanced Supply Chain..","Artic JF","S35 1QP","YO19 4TA","380.13","0.00","",
"Advanced Supply Chain..","Artic JF","S72 7GX","NE12 9SZ","585.00","0.00","",
"Advanced Supply Chain..","Artic JF","S9 1RF","MK43 9AA","595.00","0.00","",
"Advanced Supply Chain..","Artic JF","SN2 2DZ","NN17 5JE","515.00","0.00","",
"Advanced Supply Chain..","Artic JF","SO30 2DF","KT22 8SP","450.00","0.00","",
"Advanced Supply Chain..","Artic JF","SS156SJ","NN17 5ZB","525.25","0.00","",
"Advanced Supply Chain..","Artic JF","ST7 1XD","NN17 5JE","550.00","0.00","",
"Advanced Supply Chain..","Artic JF","SW11 8BU","NN17 5JE","545.20","0.00","",
"Advanced Supply Chain..","Artic JF","SW1X 7QA","RM20 2ZP","545.20","0.00","",
"Advanced Supply Chain..","Artic JF","SW3 4LX","NN17 5JE","540.00","0.00","",
"Advanced Supply Chain..","Artic JF","SW3 4LX","NN17 5ZB","540.00","0.00","",
"Advanced Supply Chain..","Artic JF","TS3 8TB","AL10 9TR","835.00","0.00","",
"Advanced Supply Chain..","Artic JF","TS3 8TB","B77 5BP","695.00","0.00","",
"Advanced Supply Chain..","Artic JF","TS3 8TB","L11 0JA","650.00","0.00","",
"Advanced Supply Chain..","Artic JF","TS3 8TB","L6 5BN","650.00","0.00","",
"Advanced Supply Chain..","Artic JF","TS3 8TB","L9 5AD","660.00","0.00","",
"Advanced Supply Chain..","Artic JF","TS3 8TB","WA5 3PW","615.00","0.00","",
"Advanced Supply Chain..","Artic JF","TW4 5SY","NN17 5JE","515.00","0.00","",
"Advanced Supply Chain..","Artic JF","W12 7GF","NN17 5JE","500.00","0.00","",
"Advanced Supply Chain..","Artic JF","W1K 5LF","NN17 5ZB","490.00","0.00","",
"Advanced Supply Chain..","Artic JF","WC1V 7QT","OX7 4JS","460.00","0.00","",
"Advanced Supply Chain..","Artic JF","WD63SB","NN17 5JE","465.00","0.00","",
"Advanced Supply Chain..","Artic JF","WF11 0BE","BD12 7AZ","325.00","0.00","",
"Advanced Supply Chain..","Artic JF","YO19 4TA","NN17 5JE","595.00","0.00","",
"Advanced Supply Chain..","Luton CS JF","B42 1AA","NN17 5JE","148.74","0.00","",
"Advanced Supply Chain..","Luton CS JF","B5 4GB","NN17 5JE","152.42","0.00","",
"Advanced Supply Chain..","Luton CS JF","BB12 7BF","S35 1QP","181.14","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","B46 1DA","248.26","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","BD5 8DT","95.97","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","E20 1EL","446.14","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","EH48 2EA","508.22","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","EH54 6QX","483.00","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","M17 8AA","102.76","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","M4 1FS","95.97","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","MK42 7QB","339.44","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","NE12 5SP","257.96","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","NG20 8BU","147.38","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","OX26 6EU","343.32","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","RG19 4AL","434.50","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","S9 1EP","97.72","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","SW1X 7QA","422.86","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","W12 7GD","417.04","0.00","",
"Advanced Supply Chain..","Luton CS JF","BD12 7AZ","WC2A 1AN","413.16","0.00","",
