"customer","tariff","from_region","to_region","price","cost","col6","col7"
"All Customers","SWB Regional Tariff","Yorkshire and the Humber","Greater London","44.00","52.00","1.17",""
"All Customers","SWB Regional Tariff","Yorkshire and the Humber","Wales","44.00","52.00","1.17",""
"All Customers","Small Van Regional Tariff","Midlands","Greater London","36.00","42.90","1.20",""
"All Customers","LWB Regional Tariff","North East","Midlands","49.00","58.50","1.20",""
"All Customers","LWB Regional Tariff","North East","East of England","49.00","58.50","1.20",""
"All Customers","SWB Regional Tariff","North West","Midlands","40.00","48.10","1.20",""
"All Customers","SWB Regional Tariff","North West","North East","40.00","48.10","1.20",""
"All Customers","Luton Regional Tariff","Scotland","South East","103.00","123.50","1.20",""
"All Customers","LWB Regional Tariff","South East","Yorkshire and the Humber","54.00","65.00","1.20",""
"All Customers","LWB Regional Tariff","South West","North West","54.00","65.00","1.20",""
"All Customers","SWB Regional Tariff","Yorkshire and the Humber","East of England","43.00","52.00","1.20",""
"All Customers","SWB Regional Tariff","Midlands","Yorkshire and the Humber","43.00","52.00","1.22",""
"All Customers","Small Van Regional Tariff","East of England","South East","40.00","49.40","1.24",""
"All Customers","SWB Regional Tariff","East of England","Midlands","47.00","58.50","1.24",""
"All Customers","SWB Regional Tariff","Greater London","Wales","47.00","58.50","1.24",""
"All Customers","SWB Regional Tariff","Midlands","North West","42.00","52.00","1.24",""
"All Customers","SWB Regional Tariff","Midlands","South East","42.00","52.00","1.24",""
"All Customers","SWB Regional Tariff","Midlands","South West","42.00","52.00","1.24",""
"All Customers","SWB Regional Tariff","North East","East of England","42.00","52.00","1.24",""
"All Customers","LWB Regional Tariff","North East","South East","47.00","58.50","1.24",""
"All Customers","LWB Regional Tariff","North West","Greater London","47.00","58.50","1.24",""
"All Customers","Luton Regional Tariff","Scotland","Midlands","100.00","123.50","1.24",""
"All Customers","Luton Regional Tariff","Scotland","East of England","100.00","123.50","1.24",""
"All Customers","Luton Regional Tariff","Scotland","Greater London","100.00","123.50","1.24",""
"All Customers","Small Van Regional Tariff","South East","East of England","35.00","42.90","1.24",""
"All Customers","SWB Regional Tariff","South East","South West","47.00","58.50","1.24",""
"All Customers","LWB Regional Tariff","South East","North West","53.00","65.00","1.24",""
"All Customers","Small Van Regional Tariff","Wales","South West","34.00","41.60","1.24",""
"All Customers","SWB Regional Tariff","Wales","Midlands","47.00","58.50","1.24",""
"All Customers","SWB Regional Tariff","Wales","Greater London","47.00","58.50","1.24",""
"All Customers","SWB Regional Tariff","Wales","North West","47.00","58.50","1.24",""
"All Customers","LWB Regional Tariff","Wales","Scotland","53.00","65.00","1.24",""
"All Customers","SWB Regional Tariff","Midlands","Wales","41.00","52.00","1.27",""
"All Customers","LWB Regional Tariff","Greater London","Yorkshire and the Humber","51.00","65.00","1.29",""
"All Customers","LWB Regional Tariff","East of England","South West","55.00","71.50","1.30",""
"All Customers","LWB Regional Tariff","East of England","Wales","55.00","71.50","1.30",""
"All Customers","LWB Regional Tariff","East of England","Yorkshire and the Humber","55.00","71.50","1.30",""
"All Customers","SWB Regional Tariff","Greater London","South West","45.00","58.50","1.30",""
"All Customers","LWB Regional Tariff","Greater London","Midlands","50.00","65.00","1.30",""
"All Customers","LWB Regional Tariff","Greater London","North East","50.00","65.00","1.30",""
"All Customers","LWB Regional Tariff","Midlands","North East","45.00","58.50","1.30",""
"All Customers","LWB Regional Tariff","North East","Greater London","45.00","58.50","1.30",""
"All Customers","LWB Regional Tariff","North East","South West","45.00","58.50","1.30",""
"All Customers","LWB Regional Tariff","North East","Wales","45.00","58.50","1.30",""
"All Customers","LWB Regional Tariff","North East","Yorkshire and the Humber","45.00","58.50","1.30",""
"All Customers","SWB Regional Tariff","North West","Wales","37.00","48.10","1.30",""
"All Customers","LWB Regional Tariff","North West","East of England","45.00","58.50","1.30",""
"All Customers","LWB Regional Tariff","North West","Scotland","45.00","58.50","1.30",""
"All Customers","LWB Regional Tariff","North West","South East","45.00","58.50","1.30",""
"All Customers","LWB Regional Tariff","North West","South West","45.00","58.50","1.30",""
"All Customers","Luton Regional Tariff","Scotland","North West","95.00","123.50","1.30",""
"All Customers","Luton Regional Tariff","Scotland","South West","95.00","123.50","1.30",""
"All Customers","Luton Regional Tariff","Scotland","Wales","95.00","123.50","1.30",""
"All Customers","Small Van Regional Tariff","South West","Wales","38.00","49.40","1.30",""
"All Customers","SWB Regional Tariff","South West","Greater London","45.00","58.50","1.30",""
"All Customers","SWB Regional Tariff","South West","South East","45.00","58.50","1.30",""
"All Customers","LWB Regional Tariff","South West","Midlands","50.00","65.00","1.30",""
"All Customers","LWB Regional Tariff","South West","East of England","50.00","65.00","1.30",""
"All Customers","LWB Regional Tariff","Wales","Yorkshire and the Humber","50.00","65.00","1.30",""
"All Customers","SWB Regional Tariff","Yorkshire and the Humber","North East","40.00","52.00","1.30",""
"All Customers","LWB Regional Tariff","Yorkshire and the Humber","Greater London","45.00","58.50","1.30",""
"All Customers","LWB Regional Tariff","Yorkshire and the Humber","Scotland","45.00","58.50","1.30",""
"All Customers","LWB Regional Tariff","Yorkshire and the Humber","South East","45.00","58.50","1.30",""
"All Customers","LWB Regional Tariff","Yorkshire and the Humber","South West","45.00","58.50","1.30",""
"All Customers","SWB Regional Tariff","Midlands","East of England","39.00","52.00","1.33",""
"All Customers","SWB Regional Tariff","East of England","South East","44.00","58.50","1.34",""
"All Customers","SWB Regional Tariff","Yorkshire and the Humber","North West","38.00","52.00","1.35",""
"All Customers","Small Van Regional Tariff","Greater London","East of England","32.00","44.20","1.37",""
"All Customers","SWB Regional Tariff","Midlands","Greater London","38.00","52.00","1.37",""
"All Customers","LWB Regional Tariff","Midlands","North West","43.00","58.50","1.37",""
"All Customers","Luton Regional Tariff","Scotland","Yorkshire and the Humber","90.00","123.50","1.37",""
"All Customers","XLWB Regional Tariff","Scotland","South East","86.00","78.00","0.91",""
"All Customers","XLWB Regional Tariff","Scotland","South West","86.00","78.00","0.91",""
"All Customers","XLWB Regional Tariff","Scotland","East of England","75.00","78.00","1.04",""
"All Customers","XLWB Regional Tariff","Greater London","Scotland","71.00","78.00","1.11",""
"All Customers","XLWB Regional Tariff","Scotland","Greater London","71.00","78.00","1.11",""
"All Customers","XLWB Regional Tariff","Scotland","Yorkshire and the Humber","71.00","78.00","1.11",""
"All Customers","XLWB Regional Tariff","South East","Scotland","71.00","78.00","1.11",""
"All Customers","XLWB Regional Tariff","Greater London","North East","67.00","78.00","1.17",""
"All Customers","XLWB Regional Tariff","Scotland","North West","67.00","78.00","1.17",""
"All Customers","XLWB Regional Tariff","Scotland","Wales","67.00","78.00","1.17",""
"All Customers","XLWB Regional Tariff","East of England","Scotland","63.00","78.00","1.24",""
"All Customers","XLWB Regional Tariff","Greater London","North West","63.00","78.00","1.24",""
"All Customers","XLWB Regional Tariff","North East","South East","58.00","71.50","1.24",""
"All Customers","XLWB Regional Tariff","Scotland","Midlands","63.00","78.00","1.24",""
"All Customers","XLWB Regional Tariff","South East","Yorkshire and the Humber","63.00","78.00","1.24",""
"All Customers","XLWB Regional Tariff","East of England","North West","60.00","78.00","1.30",""
"All Customers","XLWB Regional Tariff","East of England","South West","60.00","78.00","1.30",""
"All Customers","XLWB Regional Tariff","Greater London","Yorkshire and the Humber","60.00","78.00","1.30",""
"All Customers","XLWB Regional Tariff","North East","South West","55.00","71.50","1.30",""
"All Customers","XLWB Regional Tariff","North East","Wales","55.00","71.50","1.30",""
"All Customers","XLWB Regional Tariff","South East","North West","60.00","78.00","1.30",""
"All Customers","XLWB Regional Tariff","South West","North East","50.00","65.00","1.30",""
"All Customers","XLWB Regional Tariff","South West","Yorkshire and the Humber","50.00","65.00","1.30",""
"All Customers","XLWB Regional Tariff","East of England","Wales","57.00","78.00","1.37",""
"All Customers","XLWB Regional Tariff","East of England","Yorkshire and the Humber","57.00","78.00","1.37",""
"All Customers","XLWB Regional Tariff","Greater London","Midlands","57.00","78.00","1.37",""
"All Customers","XLWB Regional Tariff","Greater London","Wales","57.00","78.00","1.37",""
"All Customers","LWB Regional Tariff","South East","Midlands","48.00","65.00","1.37",""
"All Customers","LWB Regional Tariff","South East","Wales","48.00","65.00","1.37",""
